,timestep_int,age_bin,USER_gender,USER_eldership,count,timestep
99,908,"(99, 109]",Vyras,Verkiai,4.986712463555701,2024-06
100,908,"(99, 109]",Vyras,Šnipiškės,-0.08143131802770753,2024-06
101,908,"(99, 109]",Vyras,Naujininkai,2.1960370615655798,2024-06
102,908,"(99, 109]",Vyras,Vilkpėdė,-0.12061461360340608,2024-06
103,908,"(99, 109]",Vyras,Paneriai,-1.4462430187882624,2024-06
104,908,"(99, 109]",Vyras,Grigiškės,-2.2162017273588077,2024-06
105,908,"(99, 109]",Moteris,Justiniškės,1.1454116597772632,2024-06
106,908,"(99, 109]",Moteris,Žirmūnai,3.4465530378699256,2024-06
107,908,"(99, 109]",Moteris,Žvėrynas,-0.4825263857103579,2024-06
108,908,"(99, 109]",Moteris,Pašilaičiai,4.195668233466057,2024-06
109,908,"(99, 109]",Moteris,Lazdynai,1.9240649243840107,2024-06
110,908,"(99, 109]",Moteris,Naujamiestis,2.617370596511071,2024-06
111,908,"(99, 109]",Moteris,Naujoji Vilnia,3.3573622349891483,2024-06
112,908,"(99, 109]",Moteris,Antakalnis,3.398156168074417,2024-06
113,908,"(99, 109]",Moteris,Senamiestis,1.530216956546715,2024-06
114,908,"(99, 109]",Moteris,Fabijoniškės,3.0553694703315006,2024-06
115,908,"(99, 109]",Moteris,Šeškinė,1.7902849557139504,2024-06
116,908,"(99, 109]",Moteris,Pilaitė,2.429500942338244,2024-06
117,908,"(99, 109]",Moteris,Karoliniškės,0.896897149879841,2024-06
118,908,"(99, 109]",Moteris,Rasos,-0.7731958908633718,2024-06
119,908,"(99, 109]",Moteris,Viršuliškės,-0.833257291146456,2024-06
120,908,"(99, 109]",Moteris,Verkiai,5.317638516683056,2024-06
121,908,"(99, 109]",Moteris,Šnipiškės,0.24949473509964903,2024-06
122,908,"(99, 109]",Moteris,Naujininkai,2.5269631146929363,2024-06
123,908,"(99, 109]",Moteris,Vilkpėdė,0.21031143952395048,2024-06
124,908,"(99, 109]",Moteris,Paneriai,-1.1153169656609059,2024-06
125,908,"(99, 109]",Moteris,Grigiškės,-1.8852756742314511,2024-06
126,908,"(59, 69]",Vyras,Justiniškės,3.6433977881219874,2024-06
127,908,"(59, 69]",Vyras,Žirmūnai,5.94453916621465,2024-06
128,908,"(59, 69]",Vyras,Žvėrynas,2.015459742634368,2024-06
129,908,"(59, 69]",Vyras,Pašilaičiai,6.693654361810781,2024-06
130,908,"(59, 69]",Vyras,Lazdynai,4.422051052728737,2024-06
131,908,"(59, 69]",Vyras,Naujamiestis,5.115356724855795,2024-06
132,908,"(59, 69]",Vyras,Naujoji Vilnia,5.855348363333874,2024-06
133,908,"(59, 69]",Vyras,Antakalnis,5.896142296419141,2024-06
134,908,"(59, 69]",Vyras,Senamiestis,4.028203084891441,2024-06
135,908,"(59, 69]",Vyras,Fabijoniškės,5.553355598676227,2024-06
136,908,"(59, 69]",Vyras,Šeškinė,4.288271084058678,2024-06
137,908,"(59, 69]",Vyras,Pilaitė,4.92748707068297,2024-06
138,908,"(59, 69]",Vyras,Karoliniškės,3.394883278224567,2024-06
139,908,"(59, 69]",Vyras,Rasos,1.7247902374813524,2024-06
140,908,"(59, 69]",Vyras,Viršuliškės,1.66472883719827,2024-06
141,908,"(59, 69]",Vyras,Verkiai,7.815624645027782,2024-06
142,908,"(59, 69]",Vyras,Šnipiškės,2.747480863444375,2024-06
143,908,"(59, 69]",Vyras,Naujininkai,5.024949243037662,2024-06
144,908,"(59, 69]",Vyras,Vilkpėdė,2.7082975678686765,2024-06
145,908,"(59, 69]",Vyras,Paneriai,1.3826691626838201,2024-06
146,908,"(59, 69]",Vyras,Grigiškės,0.6127104541132748,2024-06
147,908,"(59, 69]",Moteris,Justiniškės,3.9743238412493422,2024-06
148,908,"(59, 69]",Moteris,Žirmūnai,6.275465219342006,2024-06
149,908,"(59, 69]",Moteris,Žvėrynas,2.346385795761723,2024-06
150,908,"(59, 69]",Moteris,Pašilaičiai,7.024580414938139,2024-06
151,908,"(59, 69]",Moteris,Lazdynai,4.7529771058560915,2024-06
152,908,"(59, 69]",Moteris,Naujamiestis,5.4462827779831535,2024-06
153,908,"(59, 69]",Moteris,Naujoji Vilnia,6.186274416461231,2024-06
154,908,"(59, 69]",Moteris,Antakalnis,6.227068349546498,2024-06
155,908,"(59, 69]",Moteris,Senamiestis,4.359129138018796,2024-06
156,908,"(59, 69]",Moteris,Fabijoniškės,5.884281651803581,2024-06
157,908,"(59, 69]",Moteris,Šeškinė,4.619197137186033,2024-06
158,908,"(59, 69]",Moteris,Pilaitė,5.258413123810325,2024-06
159,908,"(59, 69]",Moteris,Karoliniškės,3.725809331351922,2024-06
